fsq_id,Longitude,Latitude,Elevation
575f4936498e1f05d646e847,-122.391938,37.788919,6.047857285
519ed023498e43b1dcd345b5,-122.478115,37.75439,105.513244629
4de9173588774aa92cb01bdf,-122.289761,37.8079,6.910205841
4bee58173686c9b66f6f246e,-122.395129,37.796842,3.186137199
5229375c11d283a864f7f305,-122.450356,37.765897,92.998687744
60934c1bc9549334f8c8c8c5,-122.433439,37.771865,46.598560333
58323ac165be58789a3fbada,-122.421532,37.743794,30.529579163
5f77701ff97f9d0e2af2825e,-122.264885,37.812059,8.210397720
4645c0e3f964a52082461fe3,-122.252961,37.825598,30.873718262
459b7818f964a52089401fe3,-122.399232,37.793446,3.809647799
42756d80f964a5207f211fe3,-122.265666,37.850483,40.409542084
5253feaf498ee244bf04cc79,-122.487505,37.77967,53.407413483
49d67986f964a520db5c1fe3,-121.883935,37.327903,29.510255814
4c4495cb56a7ef3b9e58ce21,-122.253992,37.862204,82.862670898
4ababe21f964a520b68220e3,-122.423254,37.774147,19.849740982
4ae9fafbf964a5202bb821e3,-121.886579,37.353185,21.712574005
4abbbdd9f964a520a38420e3,-121.889572,37.339582,24.350049973
459e2e1df964a520b2401fe3,-122.278318,37.79615,3.651138306
4db081eea86e63d211597ff5,-122.400221,37.799296,5.362390041
4511200df964a5208c391fe3,-122.3909,37.790762,3.452528954
51bb1e118bbdaf7fa072b511,-122.434891,37.797237,22.276559830
3fd66200f964a52057ed1ee3,-122.452616,37.768958,84.207221985
4b54df8ff964a520c7d027e3,-122.416154,37.77286,10.357809067
4a35805ef964a520109d1fe3,-122.42144,37.762851,13.971166611
54ee5259498e6903bec6240d,-122.478434,37.763349,68.388717651
4a4b78d2f964a52065ac1fe3,-122.291218,37.846697,7.225082874
4d2f60c9b97cb1f7bbaf9748,-122.249755,37.808555,2.512569666
56e0f646498e8a4679a6d4b2,-122.408092,37.763772,20.259649277
4c7ad512df08a1cd060fdf5d,-122.261035,37.844886,42.421100616
4a1fff67f964a520427c1fe3,-122.408059,37.782658,11.126059532
4b15947af964a52031af23e3,-121.87543,37.333527,28.163654327
4de13535c65bcc724f534d7e,-122.386083,37.771036,3.885828733
5ca54c4282a750002cf39340,-122.422913,37.805957,17.635704041
5c412c22894eac002b342e7b,-122.4023,37.801718,4.815660477
4a31c246f964a520219a1fe3,-122.386893,37.772608,3.197610378
4418754df964a5201e311fe3,-122.414699,37.76036,8.510962486
4a52ba72f964a520f4b11fe3,-121.894942,37.348916,20.310747147
49d68c61f964a520e65c1fe3,-122.393864,37.796057,1.799367070
4a14ae02f964a52064781fe3,-122.434342,37.771371,46.849472046
4db72a14cda18a0b609e5d01,-121.888206,37.348803,21.630231857
4b0b4f7ef964a5203f3023e3,-122.250772,37.837458,53.428382874
4d40c1b800e8a35d3312fefa,-122.242229,37.811243,6.352674484
581bcbdab148840eb13defc2,-122.289976,37.853747,12.256731987
49f626eaf964a520106c1fe3,-122.412611,37.751697,17.770792007
4bad463bf964a520bd403be3,-122.261689,37.840036,38.401493073
5c41180bc97f28002b604b95,-122.262827,37.836128,35.272026062
4d6ed46127316ea8a7cca7aa,-122.451158,37.727509,95.565773010
53b353fe498ec4fabbb421c8,-122.270581,37.849819,33.092445374
5cdb8a77febf31002cf60524,-122.430752,37.766419,37.874057770
4b5f98a2f964a520a8c329e3,-121.887044,37.349837,21.159282684
