ID_LAT_LONG
"('575f4936498e1f05d646e847', 37.788919, -122.391938)"
"('519ed023498e43b1dcd345b5', 37.75439, -122.478115)"
"('4de9173588774aa92cb01bdf', 37.8079, -122.289761)"
"('4bee58173686c9b66f6f246e', 37.796842, -122.395129)"
"('5229375c11d283a864f7f305', 37.765897, -122.450356)"
"('60934c1bc9549334f8c8c8c5', 37.771865, -122.433439)"
"('58323ac165be58789a3fbada', 37.743794, -122.421532)"
"('5f77701ff97f9d0e2af2825e', 37.812059, -122.264885)"
"('4645c0e3f964a52082461fe3', 37.825598, -122.252961)"
"('459b7818f964a52089401fe3', 37.793446, -122.399232)"
"('42756d80f964a5207f211fe3', 37.850483, -122.265666)"
"('5253feaf498ee244bf04cc79', 37.77967, -122.487505)"
"('49d67986f964a520db5c1fe3', 37.327903, -121.883935)"
"('4c4495cb56a7ef3b9e58ce21', 37.862204, -122.253992)"
"('4ababe21f964a520b68220e3', 37.774147, -122.423254)"
"('4ae9fafbf964a5202bb821e3', 37.353185, -121.886579)"
"('4abbbdd9f964a520a38420e3', 37.339582, -121.889572)"
"('459e2e1df964a520b2401fe3', 37.79615, -122.278318)"
"('4db081eea86e63d211597ff5', 37.799296, -122.400221)"
"('4511200df964a5208c391fe3', 37.790762, -122.3909)"
"('51bb1e118bbdaf7fa072b511', 37.797237, -122.434891)"
"('3fd66200f964a52057ed1ee3', 37.768958, -122.452616)"
"('4b54df8ff964a520c7d027e3', 37.77286, -122.416154)"
"('4a35805ef964a520109d1fe3', 37.762851, -122.42144)"
"('54ee5259498e6903bec6240d', 37.763349, -122.478434)"
"('4a4b78d2f964a52065ac1fe3', 37.846697, -122.291218)"
"('4d2f60c9b97cb1f7bbaf9748', 37.808555, -122.249755)"
"('56e0f646498e8a4679a6d4b2', 37.763772, -122.408092)"
"('4c7ad512df08a1cd060fdf5d', 37.844886, -122.261035)"
"('4a1fff67f964a520427c1fe3', 37.782658, -122.408059)"
"('4b15947af964a52031af23e3', 37.333527, -121.87543)"
"('4de13535c65bcc724f534d7e', 37.771036, -122.386083)"
"('5ca54c4282a750002cf39340', 37.805957, -122.422913)"
"('5c412c22894eac002b342e7b', 37.801718, -122.4023)"
"('4a31c246f964a520219a1fe3', 37.772608, -122.386893)"
"('4418754df964a5201e311fe3', 37.76036, -122.414699)"
"('4a52ba72f964a520f4b11fe3', 37.348916, -121.894942)"
"('49d68c61f964a520e65c1fe3', 37.796057, -122.393864)"
"('4a14ae02f964a52064781fe3', 37.771371, -122.434342)"
"('4db72a14cda18a0b609e5d01', 37.348803, -121.888206)"
"('4b0b4f7ef964a5203f3023e3', 37.837458, -122.250772)"
"('4d40c1b800e8a35d3312fefa', 37.811243, -122.242229)"
"('581bcbdab148840eb13defc2', 37.853747, -122.289976)"
"('49f626eaf964a520106c1fe3', 37.751697, -122.412611)"
"('4bad463bf964a520bd403be3', 37.840036, -122.261689)"
"('5c41180bc97f28002b604b95', 37.836128, -122.262827)"
"('4d6ed46127316ea8a7cca7aa', 37.727509, -122.451158)"
"('53b353fe498ec4fabbb421c8', 37.849819, -122.270581)"
"('5cdb8a77febf31002cf60524', 37.766419, -122.430752)"
"('4b5f98a2f964a520a8c329e3', 37.349837, -121.887044)"
"('518309dc498e21dbe9058b9b', 37.787129, -122.397425)"
"('4b254fb0f964a520c56f24e3', 37.330568, -121.887084)"
"('56d74386cd10dff01acdb949', 37.75284, -122.504597)"
"('58dff869b3cdc853091734fa', 37.743418, -122.426884)"
"('6042aeb280ef454236b4de7d', 37.771122, -122.390963)"
"('4ad8dd3ff964a5206e1521e3', 37.866532, -122.267238)"
"('4fc7c071e4b06e4ecff8e93d', 37.769745, -122.412028)"
"('56cb88ff498e223a0d752e97', 37.33373, -121.886466)"
"('6052a71a10c9ff6ee1e79fe8', 37.787103, -122.416377)"
"('52f3d3c311d2fa6250257ba7', 37.803105, -122.414499)"
"('4a70fa6df964a520e9d81fe3', 37.350876, -121.896909)"
"('4b1413def964a520e89c23e3', 37.808661, -122.282701)"
"('4b265bb3f964a520807a24e3', 37.337222, -121.883503)"
"('4b64dfd4f964a52097d62ae3', 37.751923, -122.418214)"
"('5bd51be9947c05002c3a432d', 37.846819, -122.265741)"
"('50a6999590e7783c56a9945c', 37.802244, -122.413373)"
"('4bdc873d2a3a0f47f042b3b6', 37.778347, -122.396908)"
"('4be1fbbc660ec928e858c83b', 37.736714, -122.389657)"
"('53436734498e7f23eff637de', 37.850864, -122.260159)"
"('60901c6fd2d3fd142427138a', 37.787948, -122.39396)"
"('4486b2d2f964a5202d341fe3', 37.800852, -122.410097)"
"('4a620525f964a520d6c21fe3', 37.323228, -121.913247)"
"('4e2b4f1c1f6ebe544252959f', 37.732549, -122.434838)"
"('5f349546a58a76498b527545', 37.775743, -122.438256)"
"('5e6078e46c502e00070739b9', 37.777546, -122.42281)"
"('43fb0c0ef964a520df2f1fe3', 37.773503, -122.421854)"
"('43f703c9f964a520b52f1fe3', 37.760769, -122.433714)"
"('57814797cd10c6e07dfc0b81', 37.729588, -122.392248)"
"('5cb29f8bc0f163002c1b54a9', 37.849059, -122.252014)"
"('5c17db6331fd14002cc1efda', 37.784176, -122.439043)"
"('4aac0cfbf964a520e95b20e3', 37.349341, -121.894034)"
"('54fef97c498ed85c97c47bb8', 37.324082, -121.881797)"
"('4a8a4baef964a5201a0a20e3', 37.835033, -122.262621)"
"('50ad5b86067d33c34bef6724', 37.797348, -122.405627)"
"('591667529de23b672d0ec3cd', 37.332903, -121.900883)"
"('5643c422498ee6f4e65ad0ad', 37.340302, -121.892833)"
"('4c363d66ae2da59335d5fcc5', 37.770608, -122.477076)"
"('4aa030a2f964a520a63e20e3', 37.850756, -122.260727)"
"('50709df7e4b0c9f5cfd97f4a', 37.812766, -122.268514)"
"('4a2821d8f964a520f8941fe3', 37.765286, -122.402375)"
"('5e3c683c648f9f0008f3c872', 37.874347, -122.268407)"
"('5f09357db86f39032b516f50', 37.777253, -122.422362)"
"('60b3b78df426547c8853dd7c', 37.799551, -122.453645)"
"('43f5f8a9f964a520a92f1fe3', 37.779137, -122.4157)"
"('5740dcb3498e382e23897212', 37.817732, -122.275905)"
"('4ae910a0f964a5203db421e3', 37.825994, -122.253342)"
"('58c4ead8c0c89b4ea942e67b', 37.752329, -122.419313)"
"('4b819f25f964a5204ab330e3', 37.805878, -122.42297)"
"('59ef8a4831ac6c2da0fe6bad', 37.825929, -122.253338)"
"('5694087d498e03c2041dc84f', 37.819297, -122.262076)"
"('44edbcecf964a520e0371fe3', 37.77431, -122.408713)"
"('4e285a3518a83a1362312e45', 37.763555, -122.50968)"
"('4b5a88f3f964a52037ca28e3', 37.321281, -121.908776)"
"('53ab8b36498efd284f85d7b9', 37.787589, -122.398671)"
"('59d2eb922955136af2fd0900', 37.763755, -122.478674)"
"('4a73619af964a52050dc1fe3', 37.753193, -122.50469)"
"('50d73fb8e4b06651da909131', 37.781319, -122.431992)"
"('4d97bf39647d8cfa522fde3d', 37.80478, -122.294746)"
"('5dc48d5d66c37b0008250bf8', 37.757077, -122.421313)"
"('4ba4d928f964a520e9ba38e3', 37.361989, -121.909536)"
"('4a8e0c65f964a520e31120e3', 37.335588, -121.888499)"
"('49ecf1def964a520b3671fe3', 37.76085, -122.433074)"
"('51cdfa11498e45e34472a6cb', 37.731021, -122.444132)"
"('435d7580f964a5201a291fe3', 37.773589, -122.421572)"
"('463cf6b5f964a5203a461fe3', 37.842343, -122.251412)"
