empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,extra_payment,extra_payment-terminal,extra_rental_uris_android,extra_rental_uris_ios,extra_renting,extra_returning,extra_slots,extra_uid,extra_address
12,8,81cc789c1070340c1930450769536ea2,37.8575672,-122.2675583,Oregon St at Adeline St,2023-08-22T02:33:57.513000Z,0,True,1692671476,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,20,ef04d469-63f4-464a-946f-056da6318051,
5,10,155125eff6270d14ae62b26c85f15ce3,37.3429973,-121.8888891,Julian St at 6th St,2023-08-22T02:33:57.328000Z,0,True,1692671519,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,0d48fc9e-6798-46f0-bbb6-67a168800e0b,
6,16,2bef6d41ec5018bb81726f3e1f59d344,37.3322326,-121.9125165,Julian St at The Alameda,2023-08-22T02:33:57.420000Z,0,True,1692671505,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,2c7560e6-62c6-4403-8b97-8016471948b5,
18,4,98374aab7a1553d232630758717d87a7,37.3319323,-121.9048882,The Alameda at Bush St,2023-08-22T02:33:57.191000Z,2,True,1692671536,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,d28bb0a7-8dc5-49be-86c7-9a3395eed019,
7,8,ead93e0002db0611076fb2d63f76ce05,37.3391456,-121.8841054,Santa Clara St at 7th St,2023-08-22T02:33:57.384000Z,0,True,1692671469,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,7ae6ad74-9212-4a2b-bb52-aba03cb533e2,
22,0,3b360d106be2aeada021d0498be74fd5,37.32086614588923,-121.87627851963045,3rd St at Keyes St,2023-08-22T02:33:57.207000Z,0,True,1692671554,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,a7677436-088f-4c4f-82b9-e769e479ddf1,
1,18,62e21ee5590d59c9e7d740bf16a06bd3,37.7630152,-122.4264968,17th St at Dolores St,2023-08-22T02:33:57.131000Z,3,True,1692670993,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,0,0,23,3ccf483a-ed9f-4327-bf9b-d72b4170ebfc,
18,16,2b14980ea8a5986da568e3711ef9cf95,37.76704457969368,-122.39083349704742,4th St at 16th St,2023-08-22T02:33:57.388000Z,12,True,1692671565,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,34,482f48f4-7ed6-4e69-a778-a2aba0f39c80,
22,12,147b91431e228c6275b040c2cd4d05aa,37.78383,-122.39887,Folsom St at 3rd St,2023-08-22T02:33:57.134000Z,2,True,1692671556,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,35,a81b1594-ce38-4374-b256-3f183c8e12bc,
17,6,2e148870409210e664005a58263b186a,37.32911866814779,-121.90457582473755,Cahill Park,2023-08-22T02:33:57.255000Z,3,True,1692671460,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,28988488-fb74-4bbc-9e69-613698b2dd8c,
